"DR_NO","Date.Rptd","DATE.OCC","TIME.OCC","AREA","AREA.NAME","Rpt.Dist.No","Part.1.2","Crm.Cd","Crm.Cd.Desc","Vict.Age","Vict.Sex","Vict.Descent","Premis.Cd","Premis.Desc","Status","Status.Desc","Crm.Cd.1","LOCATION","LAT","LON","year","Descent_Description","month","Hour"
241106474,"03/05/2024 12:00:00 AM",2024-03-02,"02:00",11,"Northeast",1123,1,510,"VEHICLE - STOLEN",0,"","",101,"STREET","IC","Invest Cont",510,"3200    LOS FELIZ                    BL",34.1207,-118.2641,2024,"Unknown","2024-03","02"
241708226,"04/11/2024 12:00:00 AM",2024-03-27,"07:00",17,"Devonshire",1708,1,815,"SEXUAL PENETRATION W/FOREIGN OBJECT",68,"M","W",701,"HOSPITAL","AO","Adult Other",815,"16500    RINALDI                      ST",34.2954,-118.4886,2024,"White","2024-03","07"
240904374,"01/12/2024 12:00:00 AM",2024-01-12,"03:12",9,"Van Nuys",963,1,310,"BURGLARY",43,"M","B",210,"RESTAURANT/FAST FOOD","IC","Invest Cont",310,"5100 N  SEPULVEDA                    BL",34.163,-118.4661,2024,"Black","2024-01","03"
240212382,"07/28/2024 12:00:00 AM",2024-07-27,"23:00",2,"Rampart",236,1,510,"VEHICLE - STOLEN",0,"","",101,"STREET","IC","Invest Cont",510,"BEVERLY                      BL",34.0664,-118.2698,2024,"Unknown","2024-07","23"
241713389,"10/07/2024 12:00:00 AM",2024-09-11,"12:50",17,"Devonshire",1753,1,330,"BURGLARY FROM VEHICLE",56,"M","W",503,"HOTEL","IC","Invest Cont",330,"LASSEN                       ST",34.25,-118.5798,2024,"White","2024-09","12"
240212783,"08/08/2024 12:00:00 AM",2024-08-08,"07:45",2,"Rampart",246,2,888,"TRESPASSING",0,"X","X",904,"MTA - RED LINE - WESTLAKE/MACARTHUR PARK","IC","Invest Cont",888,"600 S  ALVARADO                     ST",34.0595,-118.2749,2024,"Unknown","2024-08","07"
242008267,"04/13/2024 12:00:00 AM",2024-04-13,"21:30",20,"Olympic",2046,1,510,"VEHICLE - STOLEN",0,"","",101,"STREET","IC","Invest Cont",510,"NEW HAMPSHIRE",34.056,-118.2929,2024,"Unknown","2024-04","21"
240409107,"07/29/2024 12:00:00 AM",2024-07-29,"16:00",4,"Hollenbeck",497,1,510,"VEHICLE - STOLEN",0,"","",101,"STREET","IC","Invest Cont",510,"2800 E  OLYMPIC                      BL",34.0234,-118.2177,2024,"Unknown","2024-07","16"
240210702,"06/07/2024 12:00:00 AM",2024-06-06,"06:00",2,"Rampart",261,1,420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",0,"","",101,"STREET","IC","Invest Cont",420,"CARONDELET                   ST",34.0579,-118.2813,2024,"Unknown","2024-06","06"
240107348,"02/16/2024 12:00:00 AM",2024-02-16,"22:10",1,"Central",192,2,624,"BATTERY - SIMPLE ASSAULT",29,"M","H",518,"TRANSITIONAL HOUSING/HALFWAY HOUSE","IC","Invest Cont",624,"1300 S  HILL                         ST",34.0363,-118.2672,2024,"Hispanic/Latin/Mexican","2024-02","22"
241407337,"03/10/2024 12:00:00 AM",2024-03-10,"23:00",14,"Pacific",1428,1,420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",44,"F","H",104,"DRIVEWAY","IC","Invest Cont",420,"3200    SELBY                        AV",34.0289,-118.4164,2024,"Hispanic/Latin/Mexican","2024-03","23"
240204821,"01/18/2024 12:00:00 AM",2024-01-17,"19:00",2,"Rampart",291,1,510,"VEHICLE - STOLEN",0,"","",101,"STREET","IC","Invest Cont",510,"HOOVER                       ST",34.0423,-118.2841,2024,"Unknown","2024-01","19"
242106350,"02/28/2024 12:00:00 AM",2024-02-27,"22:00",21,"Topanga",2158,1,510,"VEHICLE - STOLEN",0,"","",108,"PARKING LOT","IC","Invest Cont",510,"21200    OXNARD                       ST",34.1837,-118.5846,2024,"Unknown","2024-02","22"
241806520,"02/23/2024 12:00:00 AM",2024-02-23,"22:45",18,"Southeast",1802,2,890,"FAILURE TO YIELD",0,"X","X",101,"STREET","AO","Adult Other",890,"FLOWER                       ST",33.9551,-118.2814,2024,"Unknown","2024-02","22"
240911948,"10/01/2024 12:00:00 AM",2024-09-30,"14:34",9,"Van Nuys",964,2,354,"THEFT OF IDENTITY",26,"M","W",501,"SINGLE FAMILY DWELLING","IC","Invest Cont",354,"14000    RIVERSIDE                    DR",34.1576,-118.4387,2024,"White","2024-09","14"
241507041,"03/03/2024 12:00:00 AM",2024-03-03,"02:50",15,"N Hollywood",1525,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",35,"F","O",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","AO","Adult Other",740,"6100    RADFORD                      AV",34.1812,-118.3921,2024,"Other","2024-03","02"
241511981,"07/11/2024 12:00:00 AM",2024-07-10,"13:30",15,"N Hollywood",1525,1,330,"BURGLARY FROM VEHICLE",49,"F","W",707,"GARAGE/CARPORT","IC","Invest Cont",330,"6100    RADFORD                      AV",34.1812,-118.3921,2024,"White","2024-07","13"
240115549,"07/28/2024 12:00:00 AM",2024-07-27,"21:00",1,"Central",139,1,330,"BURGLARY FROM VEHICLE",29,"F","W",101,"STREET","IC","Invest Cont",330,"800 E  4TH                          PL",34.0454,-118.2333,2024,"White","2024-07","21"
240505491,"02/09/2024 12:00:00 AM",2024-02-06,"07:30",5,"Harbor",517,1,420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",0,"","",101,"STREET","IC","Invest Cont",420,"L                            ST",33.7869,-118.2599,2024,"Unknown","2024-02","07"
240306204,"02/12/2024 12:00:00 AM",2024-02-12,"00:01",3,"Southwest",396,1,210,"ROBBERY",57,"M","H",102,"SIDEWALK","IC","Invest Cont",210,"800 W  40TH                         PL",34.0101,-118.2872,2024,"Hispanic/Latin/Mexican","2024-02","00"
242109282,"05/22/2024 12:00:00 AM",2024-05-22,"12:50",21,"Topanga",2156,1,442,"SHOPLIFTING - PETTY THEFT ($950 & UNDER)",0,"M","W",406,"OTHER STORE","IC","Invest Cont",442,"6200    TOPANGA CANYON               BL",34.1865,-118.6017,2024,"White","2024-05","12"
242011535,"09/09/2024 12:00:00 AM",2024-07-30,"19:45",20,"Olympic",2033,1,330,"BURGLARY FROM VEHICLE",30,"M","W",707,"GARAGE/CARPORT","IC","Invest Cont",330,"900 S  OXFORD                       AV",34.0559,-118.3078,2024,"White","2024-07","19"
240304895,"01/17/2024 12:00:00 AM",2024-01-17,"10:00",3,"Southwest",356,1,510,"VEHICLE - STOLEN",0,"","",101,"STREET","IC","Invest Cont",510,"1600 W  35TH                         PL",34.0237,-118.3061,2024,"Unknown","2024-01","10"
240116004,"08/03/2024 12:00:00 AM",2024-08-03,"11:45",1,"Central",119,2,888,"TRESPASSING",0,"X","X",834,"LA UNION STATION (NOT LINE SPECIFIC)","IC","Invest Cont",888,"800 N  ALAMEDA                      ST",34.0561,-118.2375,2024,"Unknown","2024-08","11"
240500607,"04/04/2024 12:00:00 AM",2024-04-04,"17:40",5,"Harbor",564,2,437,"RESISTING ARREST",0,"X","X",101,"STREET","JA","Juv Arrest",437,"1ST                          ST",33.7433,-118.2836,2024,"Unknown","2024-04","17"
242110259,"07/05/2024 12:00:00 AM",2024-07-04,"16:00",21,"Topanga",2118,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",57,"F","V",122,"VEHICLE, PASSENGER/TRUCK","IC","Invest Cont",740,"ROSCOE                       BL",34.2202,-118.571,2024,"Vietnamese","2024-07","16"
241209598,"04/06/2024 12:00:00 AM",2024-04-06,"01:00",12,"77th Street",1242,1,761,"BRANDISH WEAPON",33,"F","B",501,"SINGLE FAMILY DWELLING","AA","Adult Arrest",626,"6000    MADDEN                       AV",33.9854,-118.3255,2024,"Black","2024-04","01"
240909425,"05/30/2024 12:00:00 AM",2024-05-23,"20:00",9,"Van Nuys",974,1,420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",0,"","",101,"STREET","IC","Invest Cont",420,"CAMARILLO",34.1578,-118.4563,2024,"Unknown","2024-05","20"
241512859,"08/15/2024 12:00:00 AM",2024-07-29,"22:30",15,"N Hollywood",1555,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",27,"F","W",710,"OTHER PREMISE","IC","Invest Cont",956,"5100    BAKMAN                       AV",34.163,-118.3774,2024,"White","2024-07","22"
241405809,"02/08/2024 12:00:00 AM",2024-02-08,"00:01",14,"Pacific",1494,2,946,"OTHER MISCELLANEOUS CRIME",22,"F","H",212,"TRANSPORTATION FACILITY (AIRPORT)","IC","Invest Cont",946,"300    WORLD                        WY",33.9455,-118.4001,2024,"Hispanic/Latin/Mexican","2024-02","00"
